dataset,task,metric,fm,split,split_seed,model_seed,score
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,scaffold,2,2,0.251046526624609
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,cluster,2,0,0.1968924038592674
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,cluster,2,1,0.20091212907394662
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,cluster,2,2,0.2282459962320941
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,random,3,0,0.32477071569670757
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,random,3,1,0.34280625422725286
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,random,3,2,0.3307388948694677
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,scaffold,3,0,0.36715455791883067
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,scaffold,3,1,0.34736574165091816
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,scaffold,3,2,0.31133664370440406
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,cluster,3,0,0.2161636882245114
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,cluster,3,1,0.21690208658912633
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,cluster,3,2,0.21242717267245154
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,random,4,0,0.4513768880446715
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,random,4,1,0.41807557641946763
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,random,4,2,0.4336966773642231
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,scaffold,4,0,0.3040959917798484
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,scaffold,4,1,0.27536992022152795
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,scaffold,4,2,0.3066128771735951
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,cluster,4,0,0.17400328799807588
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,cluster,4,1,0.19493457545049173
cyp2c9_substrate_carbonmangels,classification,auprc,chemberta,cluster,4,2,0.17588644048107188
cyp2c9_veith,classification,auprc,chemberta,random,0,0,0.7719725268404957
cyp2c9_veith,classification,auprc,chemberta,random,0,1,0.7720896151210669
cyp2c9_veith,classification,auprc,chemberta,random,0,2,0.7741423385804175
cyp2c9_veith,classification,auprc,chemberta,scaffold,0,0,0.7301220585215035
